name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-01-27,26,19.9,22.2,26,19.9,22.2,17.4,75.3,0.9,100,20.83,rain,0,0,27,20.3,105.7,1014.6,65.8,5.3,150.4,12.9,7,10,2022-01-27T06:46:27,2022-01-27T18:18:27,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-28,25.9,18,21.3,25.9,18,21.3,16.4,75.1,0.2,100,8.33,rain,0,0,40,18.4,86.8,1016.3,53.9,5.9,225.3,19.3,9,10,2022-01-28T06:46:23,2022-01-28T18:18:54,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-29,26.9,16.5,21.6,27.6,16.5,21.6,16.2,73.6,0,0,0,,0,0,27,18.2,85.2,1017.5,74.5,5.2,251,21.5,9,10,2022-01-29T06:46:18,2022-01-29T18:19:21,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-30,29.3,16,23.2,30.1,16,23.3,17.4,72.5,0,0,0,,0,0,22.3,14.5,96.6,1016.6,49.4,5.8,253.2,21.8,9,10,2022-01-30T06:46:12,2022-01-30T18:19:48,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-31,29.9,20,24.2,30.3,20,24.2,17.6,69.6,0,0,0,,0,0,22.3,11.3,102.2,1015.6,55,5.6,257.2,22.4,9,10,2022-01-31T06:46:05,2022-01-31T18:20:14,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-01,29.9,19,23.8,29.3,19,23.7,17,69.8,0,0,0,,0,0,23.8,11.2,92.3,1015.1,39.4,4.8,259.9,22.5,9,10,2022-02-01T06:45:57,2022-02-01T18:20:39,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-02,30,17,23.7,29.6,17,23.5,15.8,65.6,0,0,0,,0,0,28.4,11.1,112.8,1015.8,32.7,5,262.7,22.7,9,10,2022-02-02T06:45:48,2022-02-02T18:21:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-03,28,18,22.8,28.5,18,23,17.2,72.3,0,0,0,,0,0,24.1,11.2,191,1015.3,47.7,4.7,261.6,22.6,9,10,2022-02-03T06:45:37,2022-02-03T18:21:28,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-04,30.9,17,23.9,29.3,17,23.5,12.2,53.7,0,0,0,,0,0,27,18.4,261,1014,19.9,6.4,269.9,23.4,10,10,2022-02-04T06:45:26,2022-02-04T18:21:52,0.1,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-05,30.8,16.5,23.2,29.6,16.5,23.1,15.3,64.7,0,0,0,,0,0,18.7,14.4,100.7,1014.6,24.9,5.2,267.6,23.3,10,10,2022-02-05T06:45:13,2022-02-05T18:22:15,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-06,28,19,23.1,28.2,19,23.1,16.8,70.5,0,0,0,,0,0,28.8,17.9,102.2,1017,48.1,5.8,244.8,21,10,10,2022-02-06T06:45:00,2022-02-06T18:22:38,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
